Interval,Niti,Asinhrono
1000,35.21736487,21.73581362999999
2000,67.47639547000003,42.37068435999996
3000,100.94634072999997,61.794984710000016
4000,131.13176755999984,80.64740516000002
5000,166.45006422999978,100.26060997999994
6000,200.8828340600001,121.0122070399998
7000,227.07137171000068,140.22022149000003
8000,259.21888636999995,158.48801105
9000,301.5345551299997,185.45349012000005
10000,330.35304822,200.91980282999938
