Lokacija,St_Ponudb
Otoče,8
Otočec,53
Ozeljan,7
Ožbalt,2
Paka pri velenju,11
Pameče,5
Podravska regija,234
Poljska,7
Pomurska regija,84
Portugalska,1
Posavska regija,34
Radenci,218
Radeče,98
Radlje ob dravi,204
Radomlje,502
Radovljica,765
Raka,30
Rakek,79
Rakitna,9
Rakitnica,9
Rakičan,5
Rakov škocjan,2
Rateče,6
Ravne,26
Ravne na koroškem,1406
Ravno,3
Razdrto,10
Rača,4
Rače,187
Račje selo,1
Rašica,1
Renkovci,1
Renče,90
Repnje,2
Reteče,8
Ribnica,424
Ribnica na pohorju,1
Ribčev laz,4
Rigonce,2
Rimske toplice,210
Rodica,24
Rodik,7
Rogatec,35
Rogaška slatina,49
Rogašovci,5
Rogla,279
Rogoza,5
Romunija,17
Rova,3
Ruperče,2
Rusija,22
Ruše,373
Sela pri dolenjskih toplicah,2
Selca,7
Selnica ob dravi,111
Semič,314
Senovo,71
Senožeti,10
Senožeče,83
Sevnica,874
Seča,6
Sečovlje,13
Sežana,1972
Skaručna,6
Sladki vrh,228
Slovaška,3
Slovenija,4378
Slovenj gradec,1068
Slovenja vas,42
Slovenska bistrica,1875
Slovenska vas,1
Slovenske konjice,1704
Smlednik,45
Smokuč,1
Smolnik,1
Snovik,5
Socka,1
Sodražica,15
Solkan,229
Solčava,7
Sora,3
Sovodenj,103
Soča,1
Spodnja idrija,314
Spodnja kanomlja,4
Spodnja polskava,2
Spodnje dobrenje,5
Spodnje gameljne,2
Spodnje gorje,20
Spodnje hoče,2
Spodnje pirniče,1
Spodnji brnik,45
Spodnji duplek,4
Spodnji slemen,1
Srbija,40
Središče ob dravi,28
Srpenica,77
Stahovica,69
Stara cerkev,2
Stara loka,8
Stari trg,3
Stari trg ob kolpi,45
Stari trg pri ložu,254
Starod,4
Starše,14
Stična,1
Stopiče,4
Stranice,90
Stranje,83
Straža,27
Stražišče,7
Strunjan,189
Suhadole,7
Suhor,101
Sveta trojica v slovenskih goricah,1
Sveti duh,5
Sveti jurij ob ščavnici,8
Tabor,2
Tajvan,1
Teharje,106
Tepanje,57
Todraž,1
Tolmin,16
Tomažja vas,4
Topolovci,2
Topolšica,27
Toško čelo,1
Trata,9
Trboje,1
Trbovlje,599
Trebelno,20
Trebnje,1483
Trnava,8
Trnovec pri dramljah,1
Trnovo ob soči,1
Trnovska vas,8
Trzin,3
Tržič,757
Tržišče,17
Tunizija,4
Turnišče,3
Turčija,4
Ukanc,5
Unec,11
Uršna sela,1
Varpolje,1
Vavta vas,4
Vače,32
Velenje,3280
Velika loka,107
Velika pirešica,2
Velika vas pri krškem,3
Velike lašče,25
Veliki gaber,342
Veržej,1
